id,price
0,11575.576
1,10471.304
2,4833.8
3,3635.648
4,5960.64
5,4833.8
6,3635.648
7,6189.244
8,3652.444
9,7202.496
10,6371.276
11,6371.276
12,4718.681333333334
13,5003.673333333334
14,5885.524
15,7739.796
16,5459.304
17,4788.656
18,5459.304
19,10487.436
20,6109.176
21,7202.496
22,7701.656
23,5003.673333333334
24,5287.768
25,5158.065333333334
26,5776.2
27,4739.449333333334
28,4788.656
29,6109.176
30,6109.176
31,4875.205333333334
32,7392.4
33,3555.5
34,5861.472
35,3655.088
36,3635.648
37,5459.304
38,5450.956
39,3650.364
40,5003.673333333334
41,5459.304
42,5459.304
43,7392.4
44,5885.524
45,5473.744
46,8112.425371428571
47,5287.768
48,11308.052
49,4837.345333333334
50,5459.304
51,3652.444
52,9505.6704
53,5769.548
54,7696.476
55,6543.012
56,4955.881333333334
57,5034.293333333334
58,7142.204
59,6109.176
60,6109.176
61,3635.648
62,10731.756
63,13084.936
64,5459.304
65,7411.052
66,4050.552
67,5459.304
68,9448.278400000001
69,4447.0
70,7419.912
71,3635.648
72,5843.836
73,3655.088
74,5473.744
75,8317.388
76,5523.456
77,5492.536
78,8158.764
79,9157.3204
80,4423.2
81,4963.524
82,5502.528
83,5273.06
84,7408.156
85,4718.681333333334
86,4050.552
87,5459.304
88,5450.956
89,11308.052
90,5750.072
91,3662.684
92,3635.648
93,3635.648
94,8952.2096
95,10471.304
96,3635.648
97,5273.06
98,3652.444
99,5720.308
100,3650.364
101,4718.681333333334
102,5273.06
103,6109.176
104,5034.293333333334
105,6189.244
106,5003.673333333334
107,6670.484
108,6109.176
109,16637.54
110,10796.756
111,3578.408
112,5885.524
113,7515.688
114,8994.1566
115,3692.24
116,5143.613333333334
117,5287.768
118,9157.3204
119,5278.568
120,4485.96
121,4991.509333333334
122,10431.684
123,8945.4346
124,5917.236
125,6189.244
126,9493.4264
127,9519.314400000001
128,3650.364
129,3615.988
130,8449.48
131,5796.296
132,13035.048
133,6189.244
134,9157.3204
135,5618.684
136,3650.364
137,5003.673333333334
138,5003.673333333334
139,5487.12
140,6371.276
141,7411.052
142,6664.28
143,4447.0
144,10670.632
145,9505.6704
146,5002.141333333334
147,7164.672
148,5917.236
149,5769.548
150,7739.501
151,5273.06
152,6670.484
153,5459.304
154,12044.5568
155,6670.484
156,5539.652
157,8158.764
158,5467.5
159,6543.012
160,5776.2
161,9390.091733333335
162,3635.648
163,5885.524
164,5727.164
165,3692.24
166,4050.552
167,4718.681333333334
168,5459.304
169,3650.364
170,10967.344
171,3652.444
172,3635.648
173,5455.836
174,12821.456666666667
175,5290.372
176,4963.524
177,8340.604
178,4788.656
179,5885.524
180,5885.524
181,3692.24
182,3635.648
183,8112.425371428571
184,4050.552
185,4963.524
186,5003.673333333334
187,6109.176
188,5917.236
189,3576.28
190,5455.836
191,5796.296
192,5804.56
193,5471.38
194,4050.552
195,4423.2
196,3652.444
197,10700.34
198,6109.176
199,6109.176
200,4996.936
201,10450.308
202,5885.524
203,8825.376
204,8158.764
205,9493.476
206,9493.4264
207,4963.524
208,5499.816
209,7363.752
210,8112.425371428571
211,5313.472
212,7363.752
213,3574.2
214,4469.416
215,9788.442
216,4447.0
217,8112.425371428571
218,9448.278400000001
219,7753.242266666667
220,4423.2
221,10450.308
222,3655.088
223,9505.6704
224,5459.304
225,8449.48
226,8158.764
227,7164.672
228,7462.832
229,7701.656
230,5560.664
231,4875.205333333334
232,3662.684
233,10452.9
234,7510.64
235,5552.605333333334
236,4955.881333333334
237,10452.9
238,5459.304
239,4376.362666666666
240,5885.524
